"scenario","cell_g","supplier_g","min_n","n_cells","frac_degen","med_across_int","med_within_int","med_cov_int","pool_across","pool_within","pool_cov"
"s1","4d","2d",3,7577,0.247,0.217,0.708,0.09,0.13,0.93,-0.059
"s1","4d","2d",10,6394,0.238,0.221,0.715,0.084,0.13,0.93,-0.059
"s1","4d","2d",30,4983,0.23,0.219,0.722,0.08,0.13,0.93,-0.059
"s1","4d","2d",100,3104,0.24,0.211,0.739,0.073,0.13,0.93,-0.059
"s1","4d","4d",3,7577,0.234,0.418,0.421,0.163,0.416,0.482,0.103
"s1","4d","4d",10,6394,0.231,0.419,0.432,0.157,0.416,0.482,0.103
"s1","4d","4d",30,4983,0.232,0.418,0.443,0.152,0.416,0.482,0.103
"s1","4d","4d",100,3104,0.237,0.418,0.454,0.144,0.416,0.482,0.103
"s1","2d","2d",3,1150,0.214,0.193,0.737,0.096,0.152,0.864,-0.016
"s1","2d","2d",10,1074,0.212,0.196,0.745,0.088,0.152,0.864,-0.016
"s1","2d","2d",30,1017,0.214,0.196,0.752,0.085,0.152,0.864,-0.016
"s1","2d","2d",100,865,0.229,0.211,0.746,0.082,0.152,0.864,-0.016
"s1","2d","4d",3,1150,0.21,0.419,0.442,0.167,0.344,0.567,0.089
"s1","2d","4d",10,1074,0.207,0.425,0.445,0.156,0.344,0.567,0.089
"s1","2d","4d",30,1017,0.21,0.423,0.449,0.153,0.344,0.567,0.089
"s1","2d","4d",100,865,0.225,0.425,0.454,0.153,0.344,0.567,0.089
"s2","4d","2d",3,7577,0.449,0.313,0.859,-0.098,0.053,1.023,-0.076
"s2","4d","2d",10,6394,0.434,0.313,0.891,-0.123,0.053,1.023,-0.076
"s2","4d","2d",30,4983,0.411,0.291,0.92,-0.132,0.053,1.023,-0.076
"s2","4d","2d",100,3104,0.378,0.256,0.951,-0.141,0.053,1.023,-0.076
"s2","4d","4d",3,7577,0.498,0.401,0.756,-0.121,0.241,1.131,-0.373
"s2","4d","4d",10,6394,0.497,0.394,0.807,-0.154,0.241,1.131,-0.373
"s2","4d","4d",30,4983,0.491,0.379,0.851,-0.17,0.241,1.131,-0.373
"s2","4d","4d",100,3104,0.468,0.352,0.899,-0.187,0.241,1.131,-0.373
"s2","2d","2d",3,1150,0.32,0.229,0.926,-0.089,0.131,1.091,-0.222
"s2","2d","2d",10,1074,0.309,0.227,0.936,-0.098,0.131,1.091,-0.222
"s2","2d","2d",30,1017,0.303,0.222,0.941,-0.093,0.131,1.091,-0.222
"s2","2d","2d",100,865,0.297,0.2,0.961,-0.107,0.131,1.091,-0.222
"s2","2d","4d",3,1150,0.426,0.338,0.888,-0.143,0.27,1.185,-0.455
"s2","2d","4d",10,1074,0.419,0.338,0.896,-0.15,0.27,1.185,-0.455
"s2","2d","4d",30,1017,0.418,0.333,0.911,-0.153,0.27,1.185,-0.455
"s2","2d","4d",100,865,0.416,0.316,0.936,-0.175,0.27,1.185,-0.455
