"scenario","granularity","compared_to","n_cells_all","n_cells_top10","n_cells_top5","n_firms_mean","mean_top5_overlap","mean_top10_overlap","mean_top10pct_overlap","mean_top25pct_overlap","mean_top_half_overlap"
"s1","4d","u",1140,1,28,2,0.607,0.7,0.753947368421053,0.763567251461988,0.783
"s1","2d","u",404,51,70,7,0.523,0.561,0.656765676567657,0.692365486548655,0.728
"s1","4d","nu",1140,1,28,2,0.864,0.9,0.951315789473684,0.947207602339181,0.948
"s1","2d","nu",404,51,70,7,0.911,0.906,0.911633663366337,0.906893189318932,0.905
"s1","4d","u_other_4d",1140,1,28,2,0.629,0.6,0.741666666666667,0.754546783625731,0.774
"s1","2d","u_other_2d",404,51,70,7,0.54,0.606,0.650701320132013,0.68041661308988,0.729
"s2","4d","u",5828,556,1437,9,0.418,0.422,0.478827502625183,0.538613267586854,0.638
"s2","2d","u",1037,470,653,50,0.307,0.338,0.349011590634371,0.444398915365376,0.6
"s2","4d","nu",5828,556,1437,9,0.918,0.927,0.930165061702016,0.925717286378475,0.924
"s2","2d","nu",1037,470,653,50,0.923,0.931,0.947070645569085,0.928936569632792,0.927
"s2","4d","u_other_4d",5826,556,1437,9,0.408,0.414,0.472830695546378,0.53182586360389,0.635
"s2","2d","u_other_2d",1037,470,653,50,0.296,0.333,0.344240578776685,0.438284822782453,0.598
